Channel,DateFrom,DateTime,DateTo,identifier,Price,Section,source_timestamp
VPH,2018-12-14T06:11:23.000Z,2018-12-14T06:11:59.653Z,2018-12-14T09:00:00.000Z,6682583e-4504-4147-9c1a-e1bdf5bf79ce,80,P1-0468,2018-12-14 06:11:59.653
VPH,2018-12-14T06:11:06.000Z,2018-12-14T06:11:58.950Z,2018-12-14T09:30:00.000Z,f63d853a-d216-4595-919d-ef44d75ecf20,50,P5-2038,2018-12-14 06:11:58.95
PARKMACHINE,2018-12-14T06:11:35.770Z,2018-12-14T06:11:48.293Z,2018-12-14T19:00:00.000Z,83eb0648-2b76-4a45-aa67-963c5b822519,60,P4-1627,2018-12-14 06:11:48.293
VPH,2018-12-14T06:10:13.000Z,2018-12-14T06:11:38.247Z,2018-12-17T07:00:00.000Z,2f1e1f69-0f82-4b32-9642-69012114e838,60,P5-2021,2018-12-14 06:11:38.247
VPH,2018-12-14T06:10:31.000Z,2018-12-14T06:11:32.200Z,2018-12-14T09:46:31.000Z,0d2a6714-4fe4-4bb7-8d24-15ab6719ce1b,144,P2-0434,2018-12-14 06:11:32.2
VPH,2018-12-14T06:10:11.000Z,2018-12-14T06:11:30.417Z,2018-12-17T08:00:00.000Z,c2446260-5b13-4e1a-82c2-eaeb50808d70,110,P5-2625,2018-12-14 06:11:30.417
VPH,2018-12-14T06:10:59.000Z,2018-12-14T06:11:26.450Z,2018-12-14T08:00:00.000Z,7e68dbe9-cbd2-4b16-a47d-48bf1f411b1b,20,P6-1244,2018-12-14 06:11:26.45
VPH,2018-12-14T06:10:55.000Z,2018-12-14T06:11:15.980Z,2018-12-17T07:00:00.000Z,1f72a359-dc44-4bc8-ae51-71deb369422e,60,P4-1411,2018-12-14 06:11:15.98
VPH,2018-12-14T06:10:18.000Z,2018-12-14T06:11:14.717Z,2018-12-14T07:30:00.000Z,fa410d7c-3902-4da9-a212-96069cad801d,5,P5-2113,2018-12-14 06:11:14.717
VPH,2018-12-14T06:10:49.000Z,2018-12-14T06:11:09.153Z,2018-12-14T08:15:00.000Z,58b1d2cd-a8d2-4aa5-9e48-1ec6b2aee493,50,P7-0134,2018-12-14 06:11:09.153
VPH,2018-12-14T06:08:54.000Z,2018-12-14T06:10:58.417Z,2018-12-14T12:48:00.000Z,6c5cf5fb-1321-405d-9af6-d88de52cd3b5,58,P4-1621,2018-12-14 06:10:58.417
VPH,2018-12-14T06:10:15.000Z,2018-12-14T06:10:56.903Z,2018-12-14T07:42:00.000Z,30d86a08-1beb-4923-a34b-b77ce7f24175,14,P5-2036,2018-12-14 06:10:56.903
PARKMACHINE,2018-12-14T06:10:21.343Z,2018-12-14T06:10:48.403Z,2018-12-14T19:00:00.000Z,5119c419-9e97-4f12-a348-b4224025e9fb,60,P4-1627,2018-12-14 06:10:48.403
VPH,2018-12-14T06:08:04.000Z,2018-12-14T06:10:24.700Z,2018-12-14T13:18:00.000Z,4e94fa83-28ef-41fd-a8c2-d40f9852ce5f,126,P6-1244,2018-12-14 06:10:24.7
